English,Persian
A learning mode,شیوۀ یادگیری
Advent of the Divine Justice,ظهور عدل الهی
Animators of junior youth groups,مشوقین گروه های نوجوانان
Assistant to the Auxiliary Boards,معاون اعضای هیئت‌های معاونت
Bahá’í International Community,جامعۀ بین‌المللی بهائی
Center for the Study of the Texts,مرکز مطالعۀ آثار
Chaste,تمسک به ذیل عفت
Children's class,کلاس کودکان
Cluster reflection meeting,جلسه تاُمل و مشورت گروهی
Community-building,جامعه‌سازی
Continental Bahá’í Fund,صندوق قاره‌ای بهائی
Continental Counsellor,مشاور قاره‌ای
Convention delegate,نماینده انتخابی برای کانونشن ملی
Deputization,نمایندگی- نماینده
Devotional gathering,جلسات دعا
Door-to-door,خانه به خانه
Freedom from prejudice,آزادی از قیود تعصبات
Holy Day,ایام متبرکه
Holy life,تقدس در زندگی فردی
Home visit,ملاقات خانگی
International Convention,کانونشن بین المللی
International Teaching Centre,مرکز جهانی تبلیغ
Junior youth group,گروه های نو جوانان
Local Spiritual Assembly,محفل روحانی محلّی
Meaningful conversation,گفتگوی هدفمند
Member of the Auxiliary Boards,عضو هیئت‌های معاونت
National Convention,همایش(کانونشن)ملی
National Spiritual Assembly,محفل روحانی ملی
Nine Year Plan,نقشۀ نُه ساله
Objects of learning,موضوعات یادگیری
Outreach,ارتباط‌گیری / فعالیت‌های گسترشی
Parental consent,رضایت والدین
Partisan politics,سیاست‌های حزبی
Processes of disintegration,فرایندهای انحلال
Processes of integration,فرایندهای ادغام
Protagonists of the Plan,مجریان نقشه
Rectitude of conduct,حسن رفتار
Reflection,تأمل
Society-building,جامعه‌پردازی
Study circle,حلقۀ مطالعه
Study circle coordinator,هماهنگ‌کننده حلقه مطالعه
"Study, plan, act and reflect",مطالعه، برنامه‌ریزی، اقدام و تأمل
The Shrine of ‘Abdu’l-Bahá,حرم حضرت عبدالبهاء
The Shrine of Bahá’u’lláh,حرم حضرت بهاءالله
The Shrine of the Báb,حرم حضرت باب
Training Institute,مؤسسه آموزش
Tutor reflection meeting,جلسۀ مشورتی راهنمایان
Two-fold moral purpose,هدف اخلاقی دوگانه
Unit Convention,همایش(کانونشن) واحد انتخاباتی
Universal House of Justice,بیت العدل اعظم
